subset,instances,runs,mean_best_gap_pct,median_best_gap_pct,max_best_gap_pct,mean_mean_gap_pct,solved_to_bks,under_1pct,under_3pct,under_5pct,under_1pct_rate,under_3pct_rate,under_5pct_rate,mean_time
ALL,10325,10325,39.79125998934984,3.501290486237682,1807.6935794115307,39.79125998934984,41,65,103,158,28.888888888888886,45.77777777777778,70.22222222222221,0.03214193818663226
A,27,27,0.8399542947592449,0.48661800486618007,3.2898468519568915,0.8399542947592449,9,18,25,27,66.66666666666666,92.5925925925926,100.0,1.0055072040741262
AGS,10,10,828.3922176007181,751.298357477747,1807.6935794115307,828.3922176007181,0,0,0,0,0.0,0.0,0.0,0.02230406690005111
B,21,21,0.9974043340830752,0.12062726176115801,4.529616724738676,0.9974043340830752,10,14,18,21,66.66666666666666,85.71428571428571,100.0,1.0068903484285936
CMT,14,14,-2.4961282963268423,-0.19865962711768206,6.832003476963449,-2.4961282963268423,7,10,10,13,71.42857142857143,71.42857142857143,92.85714285714286,1.1026351310000078
E,10,10,1.835192402466187,1.6022087008403645,4.294478527607362,1.835192402466187,3,3,7,10,30.0,70.0,100.0,1.0099594945999342
F,1,1,3.375527426160337,3.375527426160337,3.375527426160337,3.375527426160337,0,0,0,1,0.0,0.0,100.0,1.0205675219999648
M,5,5,4.69905877243263,6.431372549019608,9.556650246305418,4.69905877243263,0,2,2,2,40.0,40.0,40.0,1.1814785964000294
P,24,24,0.5429269492319532,0.28735632183908044,4.5531197301854975,0.5429269492319532,12,16,22,24,66.66666666666666,91.66666666666666,100.0,1.0072082431667393
X,100,100,5.578951619226237,5.112791693564747,12.85484070906161,5.578951619226237,0,1,13,48,1.0,13.0,48.0,1.3558934662799949
XL,100,100,,,,,0,0,0,0,,,,0.007820684290059034
XML,10000,10000,,,,,0,0,0,0,,,,0.007540754229296681
tai,13,13,3.4065159041297854,3.501290486237682,8.898789834852447,3.4065159041297854,0,1,6,12,7.6923076923076925,46.15384615384615,92.3076923076923,1.148667447000172
