instance,subset,dimension,runs,bks,bks_routes,best_cost,best_gap_pct,mean_gap_pct,median_gap_pct,std_gap_pct,mean_cost,std_cost,mean_time,mean_iterations,best_source,reference_status
Flanders2,AGS,30001,1,4373244.0,256,83428095.0,1807.6935794115307,1807.6935794115307,1807.6935794115307,0.0,83428095.0,0.0,0.03882271499969647,0.0,full_experiment_seed0.csv,
Brussels2,AGS,16001,1,345468.0,182,4902657.0,1319.1349126402445,1319.1349126402445,1319.1349126402445,0.0,4902657.0,0.0,0.023780812000040896,0.0,full_experiment_seed0.csv,
Ghent2,AGS,11001,1,257749.0,110,3135687.0,1116.5661166483671,1116.5661166483671,1116.5661166483671,0.0,3135687.0,0.0,0.012106128000141325,0.0,full_experiment_seed0.csv,
Antwerp2,AGS,7001,1,291350.0,120,3111025.0,967.7964647331388,967.7964647331388,967.7964647331388,0.0,3111025.0,0.0,0.016448497000055795,0.0,full_experiment_seed0.csv,
Leuven2,AGS,4001,1,111395.0,46,992390.0,790.8748148480632,790.8748148480632,790.8748148480632,0.0,992390.0,0.0,0.008317411000007269,0.0,full_experiment_seed0.csv,
Brussels1,AGS,15001,1,501719.0,512,4072563.0,711.7219001074307,711.7219001074307,711.7219001074307,0.0,4072563.0,0.0,0.04282393200037404,0.0,full_experiment_seed0.csv,
Flanders1,AGS,20001,1,7240118.0,684,45352661.0,526.4077602050132,526.4077602050132,526.4077602050132,0.0,45352661.0,0.0,0.05501999399984925,0.0,full_experiment_seed0.csv,
Ghent1,AGS,10001,1,469531.0,485,2504769.0,433.4619013441072,433.4619013441072,433.4619013441072,0.0,2504769.0,0.0,0.01305119900007412,0.0,full_experiment_seed0.csv,
Antwerp1,AGS,6001,1,477277.0,343,2001922.0,319.4465687640511,319.4465687640511,319.4465687640511,0.0,2001922.0,0.0,0.009679585999947449,0.0,full_experiment_seed0.csv,
Leuven1,AGS,3001,1,192848.0,203,753685.0,290.8181573052352,290.8181573052352,290.8181573052352,0.0,753685.0,0.0,0.0029903950003244972,0.0,full_experiment_seed0.csv,
X-n513-k21,X,513,1,24201.0,21,27312.0,12.85484070906161,12.85484070906161,12.85484070906161,0.0,27312.0,0.0,1.8791466970001238,4.0,full_experiment_seed0.csv,
X-n411-k19,X,411,1,19712.0,19,22057.0,11.896306818181818,11.896306818181818,11.896306818181818,0.0,22057.0,0.0,1.6321963129998949,4.0,full_experiment_seed0.csv,
X-n214-k11,X,214,1,10856.0,11,12077.0,11.247236551215918,11.247236551215918,11.247236551215918,0.0,12077.0,0.0,1.252545328999986,10.0,full_experiment_seed0.csv,
X-n367-k17,X,367,1,22814.0,17,25255.0,10.699570439203999,10.699570439203999,10.699570439203999,0.0,25255.0,0.0,1.5709653799999614,4.0,full_experiment_seed0.csv,
X-n256-k16,X,256,1,18839.0,16,20788.0,10.34555974308615,10.34555974308615,10.34555974308615,0.0,20788.0,0.0,1.2466317530002016,7.0,full_experiment_seed0.csv,
X-n237-k14,X,237,1,27042.0,14,29837.0,10.335773981214407,10.335773981214407,10.335773981214407,0.0,29837.0,0.0,1.0392212309998285,6.0,full_experiment_seed0.csv,
X-n143-k7,X,143,1,15700.0,7,17305.0,10.222929936305732,10.222929936305732,10.222929936305732,0.0,17305.0,0.0,1.5417064110001775,7.0,full_experiment_seed0.csv,
X-n308-k13,X,308,1,25859.0,13,28414.0,9.880505820023975,9.880505820023975,9.880505820023975,0.0,28414.0,0.0,1.313592606000384,2.0,full_experiment_seed0.csv,
X-n284-k15,X,284,1,20226.0,15,22218.0,9.84870958172649,9.84870958172649,9.84870958172649,0.0,22218.0,0.0,1.002041601000201,3.0,full_experiment_seed0.csv,
X-n247-k50,X,247,1,37274.0,51,40917.0,9.773568707409991,9.773568707409991,9.773568707409991,0.0,40917.0,0.0,1.1747704519998479,6.0,full_experiment_seed0.csv,
